Date,Adjusted Passenger Count
2005-07-01,21686
2005-08-01,20084
2005-09-01,20635
2005-10-01,18988
2005-11-01,15554
2005-12-01,15271
2006-01-01,15573
2006-02-01,12660
2006-03-01,17492
2006-04-01,19807
2006-05-01,21284
2006-06-01,20596
2006-07-01,20394
2006-08-01,18385
2006-09-01,20242
2006-10-01,19601
2006-11-01,14974
2006-12-01,16644
2007-01-01,15835
2007-02-01,12205
2007-03-01,17038
2007-04-01,20001
2007-05-01,20310
2007-06-01,19602
2007-07-01,19885
2007-08-01,20024
2007-09-01,19119
2007-10-01,19016
2007-11-01,16223
2007-12-01,16061
2008-01-01,14807
2008-02-01,12888
2008-03-01,17458
2008-04-01,17031
2008-05-01,19218
2008-06-01,19147
2008-07-01,19383
2008-08-01,20122
2008-09-01,18792
2008-10-01,19232
2008-11-01,14604
2008-12-01,15920
2009-01-01,15541
2009-02-01,10520
2009-03-01,14493
2009-04-01,17347
2009-05-01,18273
2009-06-01,19648
2009-07-01,19949
2009-08-01,20308
2009-09-01,19443
2009-10-01,19685
2009-11-01,14796
2009-12-01,11858
2010-01-01,11806
2010-02-01,13400
2010-03-01,13721
2010-04-01,14192
2010-05-01,17481
2010-06-01,17481
2010-07-01,18476
2010-08-01,19429
2010-09-01,19497
2010-10-01,18905
2010-11-01,15187
2010-12-01,12790
2011-01-01,14645
2011-02-01,12099
2011-03-01,16133
2011-04-01,17709
2011-05-01,19626
2011-06-01,18870
2011-07-01,18200
2011-08-01,19610
2011-09-01,19171
2011-10-01,18820
2011-11-01,17182
2011-12-01,16860
2012-01-01,16194
2012-02-01,13953
2012-03-01,18214
2012-04-01,18074
2012-05-01,19024
2012-06-01,18712
2012-07-01,17471
2012-08-01,19569
2012-09-01,19466
2012-10-01,19542
2012-11-01,15748
2012-12-01,13220
2013-01-01,16410
2013-02-01,13653
2013-03-01,17713
2013-04-01,18776
2013-05-01,19193
2013-06-01,18597
2013-07-01,18240
2013-08-01,19492
2013-09-01,18985
2013-10-01,19067
2013-11-01,16324
2013-12-01,16511
2014-01-01,15899
2014-02-01,14354
2014-03-01,16168
2014-04-01,17434
2014-05-01,19017
2014-06-01,19157
2014-07-01,18315
2014-08-01,19384
2014-09-01,19011
2014-10-01,18321
2014-11-01,15979
2014-12-01,16084
2015-01-01,15889
2015-02-01,14372
2015-03-01,17304
2015-04-01,19594
2015-05-01,22075
2015-06-01,21315
2015-07-01,21078
2015-08-01,22544
2015-09-01,21341
2015-10-01,22169
2015-11-01,19800
2015-12-01,17560
2016-01-01,18397
2016-02-01,16230
2016-03-01,18392
